"year","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","source"
2002,0.025301769,0.029291992,0.045933359,0.059975723,0.060147556,0.072298679,0.072188826,0.079146602,0.085100227,0.09402755,"fishery"
2003,0.020763427,0.030365457,0.042043988,0.053868943,0.066689496,0.074679723,0.073114338,0.066892563,0.082410799,0.099613237,"fishery"
2004,0.017584994,0.031562502,0.044377904,0.056695863,0.062385313,0.06790667,0.081019603,0.072845166,0.091628428,0.101480844,"fishery"
2005,0.024708391,0.040644216,0.048007824,0.053637459,0.055789325,0.065718744,0.096615367,0.118358999,0.094226387,0.100991791,"fishery"
2006,0.026532337,0.039330355,0.050289808,0.055077832,0.061266149,0.064727739,0.071446416,0.084849457,0.085564701,0.098352417,"fishery"
2007,0.024694309,0.043712336,0.054653571,0.071491192,0.06968202,0.076843682,0.077839414,0.077559831,0.127216127,0.103300854,"fishery"
2008,0.02645399,0.038755645,0.054045343,0.061488649,0.07268227,0.071877852,0.069992891,0.079815236,0.078575534,0.099784232,"fishery"
2009,0.021454846,0.039503233,0.049395774,0.060528709,0.066740188,0.073383671,0.074478843,0.076991775,0.081604803,0.081330241,"fishery"
2010,0.020418504,0.036172061,0.056465918,0.058289083,0.067317421,0.068388286,0.075839394,0.072294016,0.076229716,0.080330981,"fishery"
2011,0.021992209,0.044460436,0.064006368,0.08068258,0.075307444,0.077010799,0.079790672,0.093106855,0.091332615,0.089931762,"fishery"
2012,0.022990478,0.037379823,0.050921986,0.061173603,0.065800718,0.071283584,0.077232576,0.08218605,0.089388934,0.094914391,"fishery"
2013,0.026603422,0.028034356,0.060637654,0.067653118,0.074020863,0.086709077,0.082209135,0.080265641,0.082152441,0.109299877,"fishery"
2014,0.031641862,0.056908344,0.063394207,0.070919092,0.07349206,0.083994804,0.083848502,0.079123029,0.094241856,0.092314204,"fishery"
2015,0.017811405,0.037520711,0.060387437,0.06197284,0.067928061,0.070201253,0.073554315,0.077046415,0.076346177,0.086387843,"fishery"
2016,0.024902311,0.045456108,0.055176316,0.068015135,0.067879389,0.070647294,0.072025591,0.076748362,0.07641651,0.075417779,"fishery"
2017,0.0256854,0.0458189,0.0626679,0.0645702,0.0756434,0.0783282,0.0795695,0.083797,0.0809232,0.0856983,"fishery"
2018,0.029220016,0.051062739,0.069531947,0.074376835,0.070796265,0.078313208,0.081864883,0.083882013,0.085240968,0.083488234,"fishery"
2019,0.0425661,0.0595446,0.0664841,0.0768855,0.0783347,0.0745908,0.0847328,0.081075,0.0817872,0.0862319,"fishery"
